outcome_id,vendor_id,vendor_name,period,contract_renewed,renewal_term_months,churned,escalation_flag,incident_count,sla_breach_flag,payment_dispute_flag,relationship_health
1,1,TechCorp Inc,2024-Q1,1,12,0,1,2,1,0,Strong
2,1,TechCorp Inc,2024-Q2,1,6,0,0,3,0,0,Strong
3,1,TechCorp Inc,2024-Q3,0,0,0,0,3,0,0,Strong
4,1,TechCorp Inc,2024-Q4,1,24,0,0,3,0,0,Strong
5,1,TechCorp Inc,2025-Q1,1,24,0,1,2,0,1,Strong
6,1,TechCorp Inc,2025-Q2,1,6,0,0,2,0,0,Strong
7,1,TechCorp Inc,2025-Q3,1,12,0,0,0,0,0,Strong
8,1,TechCorp Inc,2025-Q4,0,0,0,1,3,1,1,Strong
9,2,Global Supplies Ltd,2024-Q1,0,0,0,1,4,0,0,Neutral
10,2,Global Supplies Ltd,2024-Q2,1,36,0,0,1,0,0,Neutral
11,2,Global Supplies Ltd,2024-Q3,1,12,0,0,0,0,0,Neutral
12,2,Global Supplies Ltd,2024-Q4,1,6,0,0,3,0,0,Neutral
13,2,Global Supplies Ltd,2025-Q1,1,12,0,0,2,0,0,Neutral
14,2,Global Supplies Ltd,2025-Q2,0,0,0,0,3,0,0,Neutral
15,2,Global Supplies Ltd,2025-Q3,0,0,0,1,3,1,0,Neutral
16,2,Global Supplies Ltd,2025-Q4,0,0,0,0,2,0,0,Neutral
17,3,Quality Parts Co,2024-Q1,0,0,0,1,2,1,0,Strong
18,3,Quality Parts Co,2024-Q2,1,6,0,1,4,0,0,Strong
19,3,Quality Parts Co,2024-Q3,1,24,0,0,1,0,0,Strong
20,3,Quality Parts Co,2024-Q4,1,12,0,0,0,0,0,Strong
21,3,Quality Parts Co,2025-Q1,1,6,0,0,3,0,0,Strong
22,3,Quality Parts Co,2025-Q2,1,24,0,0,3,0,0,Strong
23,3,Quality Parts Co,2025-Q3,0,0,0,0,3,0,0,Strong
24,3,Quality Parts Co,2025-Q4,1,24,0,0,1,0,0,Strong
25,4,Innovative Solutions,2024-Q1,1,12,0,0,2,0,0,Strong
26,4,Innovative Solutions,2024-Q2,1,6,0,0,0,0,0,Strong
27,4,Innovative Solutions,2024-Q3,1,6,0,0,2,0,0,Strong
28,4,Innovative Solutions,2024-Q4,0,0,0,1,3,0,1,Strong
29,4,Innovative Solutions,2025-Q1,1,12,0,0,0,0,0,Strong
30,4,Innovative Solutions,2025-Q2,0,0,0,0,0,0,0,Strong
31,4,Innovative Solutions,2025-Q3,1,36,0,0,0,0,0,Strong
32,4,Innovative Solutions,2025-Q4,0,0,0,0,0,0,0,Strong
33,5,Reliable Services LLC,2024-Q1,1,12,0,0,1,0,0,Strong
34,5,Reliable Services LLC,2024-Q2,1,24,0,1,2,0,1,Strong
35,5,Reliable Services LLC,2024-Q3,1,6,0,0,1,0,0,Strong
36,5,Reliable Services LLC,2024-Q4,1,24,0,0,1,0,0,Strong
37,5,Reliable Services LLC,2025-Q1,1,6,0,0,0,0,0,Strong
38,5,Reliable Services LLC,2025-Q2,1,24,0,0,2,0,0,Strong
39,5,Reliable Services LLC,2025-Q3,0,0,0,0,3,0,0,Strong
40,5,Reliable Services LLC,2025-Q4,1,12,0,0,2,0,0,Strong
41,6,Apex Delivery Co,2024-Q1,1,6,0,0,1,0,0,Strong
42,6,Apex Delivery Co,2024-Q2,1,6,0,0,1,0,0,Strong
43,6,Apex Delivery Co,2024-Q3,1,12,0,0,2,0,0,Strong
44,6,Apex Delivery Co,2024-Q4,0,0,0,0,1,0,0,Strong
45,6,Apex Delivery Co,2025-Q1,1,6,0,0,0,0,0,Strong
46,6,Apex Delivery Co,2025-Q2,1,12,0,0,0,0,0,Strong
47,6,Apex Delivery Co,2025-Q3,0,0,0,0,0,0,0,Strong
48,6,Apex Delivery Co,2025-Q4,1,12,0,0,1,0,0,Strong
49,7,BlueStar Tech,2024-Q1,1,12,0,0,3,0,0,Neutral
50,7,BlueStar Tech,2024-Q2,1,6,0,0,1,0,0,Neutral
51,7,BlueStar Tech,2024-Q3,1,12,0,0,3,0,0,Neutral
52,7,BlueStar Tech,2024-Q4,1,6,0,0,2,0,0,Neutral
53,7,BlueStar Tech,2025-Q1,1,36,0,0,1,0,0,Neutral
54,7,BlueStar Tech,2025-Q2,0,0,0,0,2,0,0,Neutral
55,7,BlueStar Tech,2025-Q3,0,0,0,1,4,0,1,Neutral
56,7,BlueStar Tech,2025-Q4,0,0,0,0,1,0,0,Neutral
57,8,PrimeCast Mfg,2024-Q1,1,6,0,0,1,0,0,Neutral
58,8,PrimeCast Mfg,2024-Q2,1,6,0,0,2,0,0,Neutral
59,8,PrimeCast Mfg,2024-Q3,0,0,0,0,2,0,0,Neutral
60,8,PrimeCast Mfg,2024-Q4,1,12,0,0,3,0,0,Neutral
61,8,PrimeCast Mfg,2025-Q1,0,0,0,0,1,0,0,Neutral
62,8,PrimeCast Mfg,2025-Q2,1,12,0,1,4,0,0,Neutral
63,8,PrimeCast Mfg,2025-Q3,0,0,0,0,1,0,0,Neutral
64,8,PrimeCast Mfg,2025-Q4,1,36,0,1,2,1,1,Neutral
65,9,SwiftRoute Express,2024-Q1,1,36,0,0,1,0,0,Strong
66,9,SwiftRoute Express,2024-Q2,1,12,0,0,2,0,0,Strong
67,9,SwiftRoute Express,2024-Q3,1,6,0,0,0,0,0,Strong
68,9,SwiftRoute Express,2024-Q4,1,12,0,0,2,0,0,Strong
69,9,SwiftRoute Express,2025-Q1,1,12,0,0,1,0,0,Strong
70,9,SwiftRoute Express,2025-Q2,1,12,0,0,1,0,0,Strong
71,9,SwiftRoute Express,2025-Q3,1,12,0,0,2,0,0,Strong
72,9,SwiftRoute Express,2025-Q4,0,0,0,0,1,0,0,Strong
73,10,Omega Consult Group,2024-Q1,1,12,0,0,1,0,0,Strong
74,10,Omega Consult Group,2024-Q2,1,6,0,0,1,0,0,Strong
75,10,Omega Consult Group,2024-Q3,1,12,0,0,0,0,0,Strong
76,10,Omega Consult Group,2024-Q4,1,12,0,0,3,0,0,Strong
77,10,Omega Consult Group,2025-Q1,1,24,0,1,0,1,0,Strong
78,10,Omega Consult Group,2025-Q2,1,6,0,0,3,0,0,Strong
79,10,Omega Consult Group,2025-Q3,0,0,0,0,3,0,0,Strong
80,10,Omega Consult Group,2025-Q4,0,0,0,0,1,0,0,Strong
81,11,NovaMat Supplies,2024-Q1,0,0,0,0,1,0,0,Strong
82,11,NovaMat Supplies,2024-Q2,0,0,0,1,4,0,0,Strong
83,11,NovaMat Supplies,2024-Q3,1,24,0,1,1,0,1,Strong
84,11,NovaMat Supplies,2024-Q4,0,0,0,1,0,1,0,Strong
85,11,NovaMat Supplies,2025-Q1,0,0,0,0,0,0,0,Strong
86,11,NovaMat Supplies,2025-Q2,0,0,0,0,1,0,0,Strong
87,11,NovaMat Supplies,2025-Q3,1,6,0,0,1,0,0,Strong
88,11,NovaMat Supplies,2025-Q4,0,0,0,0,3,0,0,Strong
89,12,DataStream Inc,2024-Q1,1,12,0,0,2,0,0,Strong
90,12,DataStream Inc,2024-Q2,0,0,0,0,0,0,0,Strong
91,12,DataStream Inc,2024-Q3,1,12,0,0,1,0,0,Strong
92,12,DataStream Inc,2024-Q4,0,0,0,0,2,0,0,Strong
